doi,title,authors,year,journal,is_oa,pdf_url,screen_decision,screen_reason,similarity
10.2172/1825309,Domain Adaptation for Cross-Domain Studies of Merging Galaxies,Aleksandra Ćiprijanović; Diana Kafkes; Sydney Jenkins; K. Downey; Gabriel Perdue; S. Madireddy; T. Johnston; Brian Nord,2021,Domain Adaptation for Cross-Domain Studies of Merging Galaxies,True,https://www.osti.gov/biblio/1825309,Exclude,excluded rule: galaxies,0.20714564621448517
10.1007/s10994-023-06343-8,NaCL: noise-robust cross-domain contrastive learning for unsupervised domain adaptation,Jingzheng Li; Hailong Sun,2023,Machine Learning,False,,Include,matched include keyword: cross-domain,0.31409889459609985
10.20944/preprints202404.1031.v1,Domain Adaptation with Sentiment Domain Adapter,Aiden Carter; Wyne Nasir; Ethan Parker,2024,,True,https://www.preprints.org/manuscript/202404.1031/v1/download,Exclude,excluded rule: neural network,0.5634214282035828
10.1016/j.neucom.2022.04.092,Domain adaptation with a shrinkable discrepancy strategy for cross-domain sentiment classification,Yanping Fu; Yun Liu,2022,Neurocomputing,False,,Include,matched include keyword: sentiment classification,0.596587061882019
10.5121/ijcsit.2024.16303,A Domain-Invariant Transfer Learning by Bert for Cross-Domain Sentiment Analysis,Al Mahmud; Kazutaka Shimada,2024,International Journal of Computer Science and Information Technology,True,http://doi.org/10.5121/ijcsit.2024.16303,Exclude,excluded rule: transformer,0.6225214600563049
10.36227/techrxiv.23306399,DIFL:Multi-Source Domain Adaptation for Point Clouds Using Domain-Invariant-Feature-Learning,Eksan Firkat; Yucheng Huang; Bin Zhu; Tayir Mijit; Jihong Zhu; Askar Hamdulla,2023,,True,https://doi.org/10.36227/techrxiv.23306399,Include,matched include keyword: multi-domain,0.3084185719490051
10.36227/techrxiv.23306399.v1,DIFL:Multi-Source Domain Adaptation for Point Clouds Using Domain-Invariant-Feature-Learning,Eksan Firkat; Yucheng Huang; Bin Zhu; Tayir Mijit; Jihong Zhu; Askar Hamdulla,2023,,True,https://www.techrxiv.org/articles/preprint/DIFL_Multi-Source_Domain_Adaptation_for_Point_Clouds_Using_Domain-Invariant-Feature-Learning/23306399/1/files/41091785.pdf,Include,matched include keyword: multi-domain,0.3084185719490051
10.3390/s23136102,Domain Adaptation Based on Semi-Supervised Cross-Domain Mean Discriminative Analysis and Kernel Transfer Extreme Learning Machine,Xinghai Li; Jianwei Ma,2023,Sensors,True,https://www.mdpi.com/1424-8220/23/13/6102/pdf?version=1688292045,Include,matched include keyword: cross-domain,0.3700523376464844
10.1016/j.mlwa.2022.100439,Unsupervised domain adaptation with post-adaptation labeled domain performance preservation,Haidi Badr; Nayer Wanas; Magda Fayek,2022,Machine Learning with Applications,True,https://doi.org/10.1016/j.mlwa.2022.100439,Exclude,semantic non-match (score=0.360),0.35964450240135193
10.1613/jair.1.13566,Domain Adaptation and Multi-Domain Adaptation for Neural Machine Translation: A Survey,Danielle Saunders,2022,Journal of Artificial Intelligence Research,True,https://jair.org/index.php/jair/article/download/13566/26851,Exclude,excluded rule: deep learning,0.3902234733104706
10.21203/rs.3.rs-1955580/v1,Explicitly Modeling Relationships between Domain-Specific and Domain-Invariant Interests for Cross-Domain Recommendation,Tianzi Zang; Yanmin Zhu; Ruohan Zhang; Jing Zhu; Feilong Tang,2022,,True,https://www.researchsquare.com/article/rs-1955580/latest.pdf,Include,matched include keyword: cross-domain,0.38021960854530334
10.1109/cvprw56347.2022.00324,Visual Domain Bridge: A source-free domain adaptation for cross-domain few-shot learning,Moslem Yazdanpanah; Parham Moradi,2022,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),False,,Include,matched include keyword: cross-domain,0.28882017731666565
10.1007/978-3-030-45529-3_12,Multi-Source Domain Adaptation by Deep CockTail Networks,Ziliang Chen; Liang Lin,2020,Domain Adaptation in Computer Vision with Deep Learning,False,,Exclude,semantic non-match (score=0.274),0.27358436584472656
10.22266/ijies2021.1031.47,Multi-Source Domain Adaptation in Sentiment Analysis using Optimized Neural Network and Cross-Domain Semantic Library,; Dipak Patel,2021,International Journal of Intelligent Engineering and Systems,True,https://doi.org/10.22266/ijies2021.1031.47,Exclude,excluded rule: neural network,0.6049118041992188
10.5244/c.35.100,Domain Attention Consistency for Multi-Source Domain Adaptation,Zhongying Deng; Kaiyang Zhou; Yongxin Yang; Tao Xiang,2021,Proceedings of the British Machine Vision Conference 2021,False,,Exclude,semantic non-match (score=0.325),0.3248094320297241
10.2139/ssrn.5366352,Challenging Domain Shift in Excavation-Induced Wall Deformation Prediction: Feasibility of Adversarial-Discrepancy Domain Adaptation,Seunghwan Seo; Moonkyung Chung,2025,,True,https://doi.org/10.2139/ssrn.5366352,Exclude,semantic non-match (score=0.256),0.2564396262168884
10.2139/ssrn.5329722,Cross-Domain Transfer Learning for Aspect-Based Sentiment Analysis,Li Chen,2025,,True,https://doi.org/10.2139/ssrn.5329722,Include,matched include keyword: cross-domain,0.5511077642440796
10.2139/ssrn.4901673,Generalizing Capacity Estimation for Cross-Domain Lithium-Ion Batteries with Deep Multi-Domain Adaptation,Yubo Zhang; Youyuan Wang; Zhiwei Shen; Dongning Huang; Weigen Chen,2024,,True,http://doi.org/10.2139/ssrn.4901673,Include,matched include keyword: multi-domain,0.22538630664348602
10.2139/ssrn.5182249,Cluster Fusion Domain Adaptation: Improving Over Cross Domain Tasks,Victor  Akihito Kamada Tomita; Ricardo  Marcondes Marcacini,2025,,True,https://doi.org/10.2139/ssrn.5182249,Exclude,semantic non-match (score=0.345),0.3448857069015503
10.1038/s41598-025-95390-3,Addressing cross-population domain shift in chest X-ray classification through supervised adversarial domain adaptation,Aminu Musa; Rajesh Prasad; Monica Hernandez,2025,Scientific Reports,True,https://www.nature.com/articles/s41598-025-95390-3.pdf,Exclude,semantic non-match (score=0.205),0.20468033850193024
10.1007/978-3-031-91631-1_12,Cross-Domain Model Building and Validation for Nanomanufacturing Processes,Qiang Huang,2025,Domain-informed Machine Learning for Smart Manufacturing,False,,Include,matched include keyword: cross-domain,0.19130939245224
10.1017/9781108552332.007,Domain Adaptation,,2020,Machine Learning for Speaker Recognition,False,,Exclude,semantic non-match (score=0.401),0.40132376551628113
10.1109/icmla61862.2024.00009,Domain Adaptation Utilizing Texts and Visions for Cross-domain Recommendations with No Shared Users,Kentaro Shiga; Shuichiro Haruta; Zhi Li; Takahiro Hara,2024,2024 International Conference on Machine Learning and Applications (ICMLA),False,,Include,matched include keyword: cross-domain,0.3994933068752289
10.1109/iccv51070.2023.01051,Complementary Domain Adaptation and Generalization for Unsupervised Continual Domain Shift Learning,Wonguk Cho; Jinha Park; Taesup Kim,2023,2023 IEEE/CVF International Conference on Computer Vision (ICCV),False,,Exclude,semantic non-match (score=0.302),0.3023087978363037
10.5220/0011880100003575,Finger Movements Recognition Using Naive Bayes Algorithm in Frequency Domain,Daniel Pamungkas; Novi Dharmayani,2022,Proceedings of the 5th International Conference on Applied Science and Technology on Engineering Science,True,https://doi.org/10.5220/0011880100003575,Exclude,semantic non-match (score=0.107),0.10725087672472
10.34028/iajit/20/1/15,T-LBERT with Domain Adaptation for Cross-Domain Sentiment Classification,Hongye Cao; Qianru Wei; Jiangbin Zheng,2023,The International Arab Journal of Information Technology,True,https://doi.org/10.34028/iajit/20/1/15,Exclude,excluded rule: transformer,0.5929649472236633
10.21203/rs.3.rs-3365367/v1,Cross-domain Cross-task Knowledge Distillation Network for Unsupervised Domain Adaptation*,Tai Ma; Chongwen Wang; Hai Zi; Zeqing Zhang,2023,,True,https://www.researchsquare.com/article/rs-3365367/latest.pdf,Include,matched include keyword: cross-domain,0.3644317090511322
10.2172/1971798,Towards flexible domain adaptation methods for cross-datasets studies of galaxies,Aleksandra Ciprijanoivc,2023,Towards flexible domain adaptation methods for cross-datasets studies of galaxies,True,https://www.osti.gov/biblio/1971798,Exclude,excluded rule: galaxies,0.2588355243206024
10.1007/s13042-025-02691-0,Cross-domain prompt-tuning for domain adaptation,Shuqin Wang; Yun Li; Yi Zhu; Jipeng Qiang; Yunhao Yuan,2025,International Journal of Machine Learning and Cybernetics,False,,Include,matched include keyword: cross-domain,0.37264955043792725
10.3390/math10152797,A Novel Multi-Source Domain Adaptation Method with Dempster–Shafer Evidence Theory for Cross-Domain Classification,Min Huang; Chang Zhang,2022,Mathematics,True,https://www.mdpi.com/2227-7390/10/15/2797/pdf?version=1660032776,Include,matched include keyword: cross-domain,0.47591498494148254
10.18653/v1/2024.repl4nlp-1.2,DomainInv: Domain Invariant Fine Tuning and Adversarial Label Correction For Unsupervised QA Domain Adaptation,Anant Khandelwal,2024,Proceedings of the 9th Workshop on Representation Learning for NLP (RepL4NLP-2024),False,,Exclude,semantic non-match (score=0.244),0.24385593831539154
10.1007/978-3-030-45529-3_2,Shallow Domain Adaptation,Sanatan Sukhija; Narayanan Chatapuram Krishnan,2020,Domain Adaptation in Computer Vision with Deep Learning,False,,Exclude,semantic non-match (score=0.309),0.30902567505836487
10.1117/12.2592860,Secure and trustworthy machine learning/artificial intelligence for multi-domain operations,Danda Rawat,2021,Artificial Intelligence and Machine Learning for Multi-Domain Operations Applications III,False,,Include,matched include keyword: multi-domain,0.39575743675231934
10.1016/j.patcog.2022.108911,Learning intra-domain style-invariant representation for unsupervised domain adaptation of semantic segmentation,Zongyao Li; Ren Togo; Takahiro Ogawa; Miki Haseyama,2022,Pattern Recognition,False,,Exclude,semantic non-match (score=0.238),0.23763267695903778
10.1007/s11227-023-05191-6,Moka-ADA: adversarial domain adaptation with model-oriented knowledge adaptation for cross-domain sentiment analysis,Maoyuan Zhang; Xiang Li; Fei Wu,2023,The Journal of Supercomputing,False,,Include,matched include keyword: cross-domain,0.5545857548713684
10.1039/d3dd00162h/v1/review1,"Review for ""Realistic material property prediction using domain adaptation based machine learning""",,2023,,False,,Exclude,semantic non-match (score=0.344),0.3444504141807556
10.1039/d3dd00162h/v2/review2,"Review for ""Realistic material property prediction using domain adaptation based machine learning""",,2023,,False,,Exclude,semantic non-match (score=0.344),0.3444504141807556
10.31234/osf.io/8pu9k,Unleashing Creativity: A Machine Learning Approach to Investigating Domain Specificity and Domain Generality,Peiqian Wu,2023,,True,https://doi.org/10.31234/osf.io/8pu9k,Include,matched include keyword: accuracy,0.3498553931713104
10.1007/978-3-030-45529-3_1,Introduction to Domain Adaptation,Hemanth Venkateswara; Sethuraman Panchanathan,2020,Domain Adaptation in Computer Vision with Deep Learning,False,,Exclude,semantic non-match (score=0.387),0.3867676854133606
10.1039/d3dd00162h/v3/review1,"Review for ""Realistic material property prediction using domain adaptation based machine learning""",,2023,,False,,Exclude,semantic non-match (score=0.344),0.3444504141807556
10.1039/d3dd00162h/v1/review2,"Review for ""Realistic material property prediction using domain adaptation based machine learning""",,2023,,False,,Exclude,semantic non-match (score=0.344),0.3444504141807556
10.1039/d3dd00162h/v1/review3,"Review for ""Realistic material property prediction using domain adaptation based machine learning""",,2023,,False,,Exclude,semantic non-match (score=0.344),0.3444504141807556
10.1039/d3dd00162h/v2/review1,"Review for ""Realistic material property prediction using domain adaptation based machine learning""",,2023,,False,,Exclude,semantic non-match (score=0.344),0.3444504141807556
10.1016/j.neunet.2023.11.048,Graph embedding-based heterogeneous domain adaptation with domain-invariant feature learning and distributional order preserving,Wenxu Wang; Zhenbo Li; Weiran Li,2024,Neural Networks,False,,Exclude,semantic non-match (score=0.274),0.2736021876335144
10.1109/phm-yantai55411.2022.9941970,Cross-Domain Fault Diagnosis for Rotating Machines with Multi-Scale Domain Adaptation,Yifei Ding; Minping Jia,2022,2022 Global Reliability and Prognostics and Health Management (PHM-Yantai),False,,Include,matched include keyword: cross-domain,0.30521100759506226
10.1016/j.est.2025.117601,Lithium-ion battery state-of-health estimation using intra-domain and cross-domain transfer learning: mitigating domain shift based on Wasserstein distance,Chenglong Duan; Hung Le; Dazhong Wu,2025,Journal of Energy Storage,False,,Include,matched include keyword: cross-domain,0.26345089077949524
10.2139/ssrn.4873059,Multi-Source Domain Separation Adversarial Domain Adaptation for Eeg Emotion Recognition,Qingsong Ai; Chenhuan Wang; Kun Chen; Li Ma,2024,,True,http://doi.org/10.2139/ssrn.4873059,Exclude,semantic non-match (score=0.400),0.3999326825141907
10.1101/2023.05.05.539574,Domain-based multi-domain protein and complex structure prediction using inter-domain interactions from deep learning,Yuhao Xia; Kailong Zhao; Dong Liu; Xiaogen Zhou; Guijun Zhang,2023,,True,https://www.biorxiv.org/content/biorxiv/early/2023/05/08/2023.05.05.539574.full.pdf,Exclude,excluded rule: deep learning,0.27794694900512695
10.1155/2022/2463746,Discriminative Extreme Learning Machine with Cross‐Domain Mean Approximation for Unsupervised Domain Adaptation,Shaofei Zang; Xinghai Li; Jianwei Ma; Yongyi Yan; Jinfeng Lv; Yuan Wei,2022,Complexity,True,https://downloads.hindawi.com/journals/complexity/2022/2463746.pdf,Exclude,excluded rule: ANN,0.3754647672176361
10.1109/icc45855.2022.9838583,Cross-Domain Communications Between Agents Via Adversarial-Based Domain Adaptation in Reinforcement Learning,Lichao Meng; Jingjing Li; Ke Lu,2022,ICC 2022 - IEEE International Conference on Communications,False,,Exclude,excluded rule: Reinforcement,0.2795445919036865
10.1109/ijcnn54540.2023.10191836,Cross-Domain Few-Shot Relation Extraction via Representation Learning and Domain Adaptation,Zhongju Yuan; Zhenkun Wang; Genghui Li,2023,2023 International Joint Conference on Neural Networks (IJCNN),False,,Include,matched include keyword: cross-domain,0.3020642399787903
10.1109/tencon58879.2023.10322397,Attentive Cross-Domain Few-shot Learning and Domain Adaptation in HSI Classification,Rojan Basnet; Rimsa Goperma; Liang Zhao,2023,TENCON 2023 - 2023 IEEE Region 10 Conference (TENCON),False,,Include,matched include keyword: cross-domain,0.33371037244796753
10.1109/lsp.2022.3154237,CentriForce: Multiple-Domain Adaptation for Domain-Invariant Speaker Representation Learning,Yuheng Wei; Junzhao Du; Hui Liu; Zhipeng Zhang,2022,IEEE Signal Processing Letters,False,,Exclude,semantic non-match (score=0.308),0.3079601228237152
10.71443/9789349552982-06,Transfer Learning and Domain Adaptation Techniques in Deep Reinforcement Learning for Cross-Domain Tasks,J Jayaganesh; Vanathi M,2025,Deep Reinforcement Learning Applications in Autonomous Systems and Decision Making,True,https://www.rademics.com/upload/1741334549201728000867caa8152c1d8PREVIEW 6.pdf,Exclude,excluded rule: Reinforcement,0.2617247700691223
10.1049/iet-cvi.2019.0514,Domain‐invariant adversarial learning with conditional distribution alignment for unsupervised domain adaptation,Xingmei Wang; Boxuan Sun; Hongbin Dong,2020,IET Computer Vision,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1049/iet-cvi.2019.0514,Exclude,semantic non-match (score=0.277),0.2773725986480713
10.14428/esann/2021.es2021-103,Domain Adversarial Tangent Learning Towards Interpretable Domain Adaptation,Christoph Raab; Sascha Saralajew; Frank-Michael Schleif,2021,ESANN 2021 proceedings,True,https://doi.org/10.14428/esann/2021.es2021-103,Exclude,semantic non-match (score=0.338),0.3381923735141754
10.1007/978-981-97-1025-6_6,Active Learning for Unsupervised Domain Adaptation,Jingjing Li; Lei Zhu; Zhekai Du,2024,"Machine Learning: Foundations, Methodologies, and Applications",False,,Exclude,semantic non-match (score=0.318),0.3177114427089691
10.1049/cje.2020.09.013,Learning Domain‐Invariant and Discriminative Features for Homogeneous Unsupervised Domain Adaptation,Yun Zhang; Nianbin Wang; Shaobin Cai,2020,Chinese Journal of Electronics,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1049/cje.2020.09.013,Exclude,semantic non-match (score=0.329),0.32900336384773254
10.1016/j.knosys.2020.106423,Automatic construction of domain-specific sentiment lexicon for unsupervised domain adaptation and sentiment classification,Omid Mohamad Beigi; Mohammad H. Moattar,2021,Knowledge-Based Systems,False,,Include,matched include keyword: sentiment classification,0.5666743516921997
10.1007/s00138-024-01615-2,Unsupervised domain adaptation by cross-domain consistency learning for CT body composition,Shahzad Ali; Yu Rim Lee; Soo Young Park; Won Young Tak; Soon Ki Jung,2025,Machine Vision and Applications,True,https://link.springer.com/content/pdf/10.1007/s00138-024-01615-2.pdf,Include,matched include keyword: cross-domain,0.24540960788726807
10.1016/j.neucom.2020.06.044,Domain adaptation based on domain-invariant and class-distinguishable feature learning using multiple adversarial networks,Cangning Fan; Peng Liu; Ting Xiao; Wei Zhao; Xianglong Tang,2020,Neurocomputing,False,,Exclude,semantic non-match (score=0.373),0.37254875898361206
10.1007/978-3-030-30671-7_2,M-ADDA: Unsupervised Domain Adaptation with Deep Metric Learning,Issam H. Laradji; Reza Babanezhad,2020,Domain Adaptation for Visual Understanding,True,http://export.arxiv.org/pdf/1807.02552,Exclude,semantic non-match (score=0.312),0.31161579489707947
10.1007/978-981-97-1025-6_1,Introduction to Domain Adaptation,Jingjing Li; Lei Zhu; Zhekai Du,2024,"Machine Learning: Foundations, Methodologies, and Applications",False,,Exclude,semantic non-match (score=0.387),0.3867676854133606
10.1109/jiot.2024.3421326,Single-Source Cross-Domain Bearing Fault Diagnosis via Multipseudo-Domain-Augmented Adversarial Domain-Invariant Learning,Yuanguo Bi; Rao Fu; Cunyu Jiang; Guangjie Han; Zhenyu Yin; Liang Zhao; Qihao Li,2024,IEEE Internet of Things Journal,False,,Include,matched include keyword: cross-domain,0.3643883764743805
10.1007/978-981-97-1025-6_2,Unsupervised Domain Adaptation Techniques,Jingjing Li; Lei Zhu; Zhekai Du,2024,"Machine Learning: Foundations, Methodologies, and Applications",False,,Exclude,semantic non-match (score=0.324),0.3237918019294739
10.20944/preprints202502.1213.v1,Statistically-Informed Multimodal (Domain Adaptation by Transfer) Learning Framework: A Domain Adaptation Use-Case for Industrial Human-Robot Communication,Debasmita Mukherjee; Homayoun Najjaran,2025,,True,https://doi.org/10.20944/preprints202502.1213.v1,Exclude,excluded rule: neural network,0.3291082978248596
10.1155/2024/9798167,Retracted: Cross-Domain End-To-End Aspect-Based Sentiment Analysis with Domain-Dependent Embeddings,Complexity,2024,Complexity,True,https://downloads.hindawi.com/journals/complexity/2024/9798167.pdf,Include,matched include keyword: cross-domain,0.5168738961219788
10.1007/s11280-024-01305-z,Explicitly modeling relationships between domain-specific and domain-invariant interests for cross-domain recommendation,Tianzi Zang; Yanmin Zhu; Ruohan Zhang; Jing Zhu; Feilong Tang,2024,World Wide Web,False,,Include,matched include keyword: cross-domain,0.4115830361843109
10.1109/taslpro.2025.3594292,CCKA: Continual Cross-Domain Knowledge Adaptation for Multi-Domain Machine Translation,Zhibo Man; Yujie Zhang; Yuanmeng Chen; Yufeng Chen; Jinan Xu,2025,"IEEE Transactions on Audio, Speech and Language Processing",False,,Include,matched include keyword: multi-domain,0.35879209637641907
10.1016/j.patcog.2025.111675,Class and Domain Low-rank Tensor Learning for Multi-source Domain Adaptation,Yuwu Lu; Huiling Fu; Zhihui Lai; Xuelong Li,2025,Pattern Recognition,False,,Exclude,semantic non-match (score=0.349),0.3492099940776825
10.1007/s00500-020-05400-x,An enhanced sentiment dictionary for domain adaptation with multi-domain dataset in Tamil language (ESD-DA),E. Sivasankar; K. Krishnakumari; P. Balasubramanian,2020,Soft Computing,False,,Include,matched include keyword: multi-domain,0.5359788537025452
10.3233/jifs-220448,Sentiment lexicon for cross-domain adaptation with multi-domain dataset in Indian languages enhanced with BERT classification model,K. Suresh Kumar; C. Helen Sulochana; A.S. Radhamani; T. Ananth Kumar,2022,Journal of Intelligent &amp; Fuzzy Systems,False,,Exclude,excluded rule: deep learning,0.5987294912338257
10.1007/978-981-97-1025-6_5,Source-Free Unsupervised Domain Adaptation,Jingjing Li; Lei Zhu; Zhekai Du,2024,"Machine Learning: Foundations, Methodologies, and Applications",False,,Exclude,semantic non-match (score=0.305),0.3054833710193634
10.2139/ssrn.5384870,Joint Mutual Information Estimation for Unsupervised Domain Adaptation in Cross-Domain Facial Expression Recognition,kai Zou; Lianghai Jin; Enmin Song; Xiangyang Xu,2025,,True,https://doi.org/10.2139/ssrn.5384870,Include,matched include keyword: cross-domain,0.3402048945426941
10.1016/j.patcog.2021.108362,Cross-domain structure preserving projection for heterogeneous domain adaptation,Qian Wang; Toby P. Breckon,2022,Pattern Recognition,True,http://dro.dur.ac.uk/34127/,Include,matched include keyword: cross-domain,0.25745734572410583
10.3390/s25061876,Multi-Feature Unsupervised Domain Adaptation (M-FUDA) Applied to Cross Unaligned Domain-Specific Distributions in Device-Free Human Activity Classification,Muhammad Hassan; Tom Kelsey,2025,Sensors,True,https://doi.org/10.3390/s25061876,Exclude,excluded rule: ANN,0.20754413306713104
10.1007/978-3-030-45529-3_8,Domain Adaptation via Image Style Transfer,Amir Atapour-Abarghouei; Toby P. Breckon,2020,Domain Adaptation in Computer Vision with Deep Learning,True,https://durham-repository.worktribe.com/output/1656366,Exclude,semantic non-match (score=0.250),0.25021153688430786
10.2139/ssrn.4567006,A New Multi-Source Information Domain Adaption Network Based on Domain Attributes and Features Transfer for Cross-Domain Fault Diagnosis,Yue Yu; Hamid  Reza Karimi; Peiming Shi; Rongrong Peng; Shuai Zhao,2023,,True,https://doi.org/10.2139/ssrn.4567006,Include,matched include keyword: cross-domain,0.26657000184059143
10.1109/tim.2023.3318735,Domain Adaptation With Multi-Adversarial Learning for Open-Set Cross-Domain Intelligent Bearing Fault Diagnosis,Zhixiao Zhu; Guangyi Chen; Gang Tang,2023,IEEE Transactions on Instrumentation and Measurement,False,,Include,matched include keyword: cross-domain,0.3247571289539337
10.1007/978-3-031-30187-2_11,Machine Learning-Based Sentiment Analysis Approaches,Kerstin Denecke,2023,Sentiment Analysis in the Medical Domain,False,,Include,semantic match (score=0.605) to RQ: How has the development of machine learning methods in multi-domain sentiment analysis progressed over the last five years?,0.6054866909980774
10.1007/978-981-97-1025-6_4,Bi-Classifier Adversarial Learning-Based Unsupervised Domain Adaptation,Jingjing Li; Lei Zhu; Zhekai Du,2024,"Machine Learning: Foundations, Methodologies, and Applications",False,,Exclude,semantic non-match (score=0.325),0.325006902217865
10.1016/j.engappai.2025.111934,Simplified syntax-guided domain-shared representation learning for cross-domain aspect-based sentiment analysis,Jiqun Zhang; Yan Xiang,2025,Engineering Applications of Artificial Intelligence,False,,Include,matched include keyword: cross-domain,0.5568100810050964
10.1007/978-981-97-1025-6_3,Criterion Optimization-Based Unsupervised Domain Adaptation,Jingjing Li; Lei Zhu; Zhekai Du,2024,"Machine Learning: Foundations, Methodologies, and Applications",False,,Exclude,semantic non-match (score=0.322),0.3217713236808777
10.1109/slt61566.2024.10832334,Enhancing Domain Generalization in Speech Emotion Recognition by Combining Domain-Variant Representations and Domain-Invariant Classifiers,Shi-Wook Lee,2024,2024 IEEE Spoken Language Technology Workshop (SLT),False,,Exclude,semantic non-match (score=0.489),0.48902806639671326
10.1007/s10115-025-02483-6,Feature refinement for cross-domain aspect-based sentiment analysis: a contrastive learning and domain alignment perspective,Rui Yu; Hongbin Xia; Yuan Liu,2025,Knowledge and Information Systems,False,,Include,matched include keyword: cross-domain,0.567908525466919
10.24963/ijcai.2022/410,Learning Unforgotten Domain-Invariant Representations for Online Unsupervised Domain Adaptation,Cheng Feng; Chaoliang Zhong; Jie Wang; Ying Zhang; Jun Sun; Yasuto Yokota,2022,Proceedings of the Thirty-First International Joint Conference on Artificial Intelligence,True,https://www.ijcai.org/proceedings/2022/0410.pdf,Exclude,excluded rule: ANN,0.2469830960035324
10.1109/icsi64877.2025.11009887,Adversarial Multi-Target Domain Adaptation with Multi-Scale Convolutional Neural Networks for Cross-Domain Fault Diagnosis,Qingke Liu; Quan Zhang; Yaqi Yu; Xiaowen Ma,2025,2025 5th International Conference on Sensors and Information Technology,False,,Exclude,excluded rule: neural network,0.3246746361255646
10.1007/978-981-97-1025-6_7,Continual Test-Time Unsupervised Domain Adaptation,Jingjing Li; Lei Zhu; Zhekai Du,2024,"Machine Learning: Foundations, Methodologies, and Applications",False,,Exclude,semantic non-match (score=0.254),0.2538352906703949
10.1016/j.engappai.2023.106364,Multi-domain adaptation for cross-domain semantic slot filling,Yuhui Zhang; Li Chen; Shenggen Ju; Gaoshuo Liu,2023,Engineering Applications of Artificial Intelligence,False,,Include,matched include keyword: multi-domain,0.3648383915424347
10.1109/icme46284.2020.9102766,Domain-Invariant Region Proposal Network For Cross-Domain Detection,Xuebin Yang; Shouhong Wan; Peiquan Jin,2020,2020 IEEE International Conference on Multimedia and Expo (ICME),False,,Include,matched include keyword: cross-domain,0.26720359921455383
